  -1.5314417e+02  -1.3518241e+03   7.9924313e+01   7.1368006e+02
  -1.2995462e+03  -8.9970572e+01  -8.5273137e+01  -8.4254937e+02
  -2.9456643e-01  -4.8393282e-01  -8.2403862e-01   8.1223376e-01
  -2.5513673e+02  -3.4818106e+01  -1.3284859e+03   2.1031785e+02
  -1.2855080e+03   1.6871470e+02   6.7749492e+00  -6.1824453e+02
  -2.7615123e-01   8.5238385e-01  -4.4405211e-01   9.0575147e-01
  -1.6198805e+02   1.3107895e+03   3.2881674e+02   1.5080330e+03
  -1.2237411e+03  -1.6063009e+01   4.4586650e+02  -8.9695320e+01
  -6.3531198e-02   2.3764918e-01   9.6927120e-01   1.9330394e+00
  -3.9489074e+02   1.6930196e+02   1.2920833e+03   1.5130281e+03
  -1.2875595e+03  -1.2487747e+02  -1.2669424e+02  -5.0208477e+02
  -3.6225565e-01  -7.9336226e-01   4.8923120e-01   1.5043157e+00
  -3.3792344e+02  -1.2993795e+03   1.9393679e+02   6.8228012e+02
  -1.2742333e+03   1.2308383e+02   2.5269108e+02  -6.1538142e+02
  -5.7950970e-01  -4.3580652e-01  -6.8865172e-01   6.5252919e-01
  -6.0293109e+01   1.3428650e+03   1.7100325e+02   1.4146847e+03
  -1.2970850e+03   2.0084380e+02  -3.8905625e+01  -1.8424183e+02
  -3.8526751e-01   3.4513528e-01   8.5583327e-01   1.7529182e+00
  -3.0271165e+02   1.5282759e+02  -1.3151218e+03   5.6139991e+02
  -1.3084859e+03  -8.5571159e+01   4.2760788e+01  -2.3388109e+02
  -4.6019010e-01   8.4495264e-01  -2.7254378e-01   9.1096618e-01
  -1.9407271e+02   2.7984008e+02   1.3160874e+03   1.4395374e+03
  -1.2653946e+03  -2.7348471e+02   1.1481480e+02  -5.4316519e+02
  -1.7514735e-01  -7.6333719e-01   6.2180362e-01   1.6744901e+00
