   1.0195999e-05   7.7899431e-04  -3.3211060e-02
  -8.3647891e-04   2.1358576e-05   4.8498115e-01
  -3.1199104e-05  -3.0766523e-04   1.1048810e+00
  -1.1859554e-04   7.4027249e-04   1.5698855e-01
  -8.4910108e-05  -3.9338351e-04   1.1291151e+00
   8.2735907e-04   6.5208731e-05  -4.0276326e-01
   5.2632500e-05   7.0217260e-04   1.4155768e-01
  -8.1629572e-04   1.3744359e-04   2.9995122e-01
  -1.7348813e-04  -4.3365077e-04   1.1643523e+00
  -4.1507234e-05   6.6983868e-04   2.8163578e-01
   1.2022286e-04  -4.8633715e-04   9.6950652e-01
   8.2536902e-04   1.0466268e-04  -6.6244564e-01
  -1.8795175e-05   7.8201221e-04  -5.8387142e-02
   8.3199839e-04   3.6311054e-05  -5.8711611e-01
  -5.2696436e-05   2.8663809e-04  -1.0566180e+00
  -8.4059776e-05   5.3365463e-04   5.3794543e-01
   8.2783166e-04  -1.7175424e-05  -3.5869795e-01
   9.2040026e-05   6.4856044e-04  -1.0237139e+00
   1.5088203e-04   7.2781316e-04  -1.9423053e-02
   3.2064151e-04   2.9858857e-04  -1.2071745e+00
  -7.5401247e-04   2.7348677e-04   6.5444202e-02
   1.1590815e-04   7.6793778e-04  -8.8833687e-02
   5.4114386e-05   3.0517948e-04  -1.1163067e+00
  -8.2548440e-04   1.2925759e-04   4.3606360e-01
